Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,3.5298,2018,8,1,12,3,2,1.0,213,False,1,0,3.5298,0.0,0.0,0.0
2018-08-01 13:00:00,3.4308,2018,8,1,13,3,2,1.0,213,False,1,0,3.4308,0.0,0.0,0.0
2018-08-01 14:00:00,4.8816,2018,8,1,14,3,2,1.0,213,False,1,0,4.8816,0.0,0.0,0.0
2018-08-01 15:00:00,6.1992,2018,8,1,15,3,2,1.0,213,False,1,0,6.1992,0.0,0.0,1.0
2018-08-01 16:00:00,6.4086,2018,8,1,16,3,2,1.0,213,False,1,0,6.4086,0.0,0.0,1.0
2018-08-01 17:00:00,6.354,2018,8,1,17,3,2,1.0,213,False,1,0,0.0121821659415068,6.341817834058493,1.0,1.0
2018-08-01 18:00:00,5.1114,2018,8,1,18,3,2,1.0,213,False,1,0,5.1114,0.0,0.0,1.0
2018-08-01 19:00:00,4.5786,2018,8,1,19,3,2,1.0,213,False,1,0,4.5786,0.0,0.0,1.0
2018-08-01 20:00:00,4.2336,2018,8,1,20,3,2,1.0,213,False,1,0,4.2336,0.0,0.0,0.0
2018-08-01 21:00:00,4.6602,2018,8,1,21,3,2,1.0,213,False,1,0,4.6602,0.0,0.0,0.0
2018-08-01 22:00:00,4.4388,2018,8,1,22,3,2,1.0,213,False,1,0,4.4388,0.0,0.0,1.0
2018-08-01 23:00:00,13.3074,2018,8,1,23,3,2,1.0,213,False,1,0,6.540506364996704,6.766893635003296,1.0,1.0
2018-08-02 00:00:00,12.5466,2018,8,2,0,3,3,1.0,214,False,1,0,5.966291662183357,6.580308337816643,1.0,1.0
2018-08-02 01:00:00,11.4264,2018,8,2,1,3,3,1.0,214,False,1,0,5.223427418793339,6.2029725812066605,1.0,1.0
2018-08-02 02:00:00,6.320401,2018,8,2,2,3,3,1.0,214,False,1,0,6.320401,0.0,0.0,0.0
2018-08-02 03:00:00,2.598,2018,8,2,3,3,3,1.0,214,False,1,0,2.598,0.0,0.0,0.0
2018-08-02 04:00:00,5.199,2018,8,2,4,3,3,1.0,214,False,1,0,5.199,0.0,0.0,0.0
2018-08-02 05:00:00,3.0036,2018,8,2,5,3,3,1.0,214,False,1,0,3.0036,0.0,0.0,0.0
2018-08-02 06:00:00,2.046,2018,8,2,6,3,3,1.0,214,False,1,0,2.046,0.0,0.0,0.0
2018-08-02 07:00:00,1.2246,2018,8,2,7,3,3,1.0,214,False,1,0,1.2246,0.0,0.0,0.0
2018-08-02 08:00:00,1.488,2018,8,2,8,3,3,1.0,214,False,1,0,1.488,0.0,0.0,0.0
2018-08-02 09:00:00,1.7244,2018,8,2,9,3,3,1.0,214,False,1,0,1.7244,0.0,0.0,0.0
2018-08-02 10:00:00,2.1714,2018,8,2,10,3,3,1.0,214,False,1,0,2.1714,0.0,0.0,0.0
2018-08-02 11:00:00,3.318,2018,8,2,11,3,3,1.0,214,False,1,0,3.318,0.0,0.0,0.0
