Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,4.2246,2018,8,1,12,3,2,1.0,213,False,1,0,4.2246,0.0,0.0,1.0
2018-08-01 13:00:00,5.0976,2018,8,1,13,3,2,1.0,213,False,1,0,5.0976,0.0,0.0,1.0
2018-08-01 14:00:00,5.658,2018,8,1,14,3,2,1.0,213,False,1,0,5.658,0.0,0.0,1.0
2018-08-01 15:00:00,5.3436,2018,8,1,15,3,2,1.0,213,False,1,0,5.3436,0.0,0.0,1.0
2018-08-01 16:00:00,5.3892,2018,8,1,16,3,2,1.0,213,False,1,0,5.3892,0.0,0.0,1.0
2018-08-01 17:00:00,4.9422,2018,8,1,17,3,2,1.0,213,False,1,0,4.9422,0.0,0.0,1.0
2018-08-01 18:00:00,4.9104,2018,8,1,18,3,2,1.0,213,False,1,0,4.9104,0.0,0.0,1.0
2018-08-01 19:00:00,4.8432,2018,8,1,19,3,2,1.0,213,False,1,0,4.8432,0.0,0.0,1.0
2018-08-01 20:00:00,4.5474,2018,8,1,20,3,2,1.0,213,False,1,0,4.5474,0.0,0.0,1.0
2018-08-01 21:00:00,4.1796,2018,8,1,21,3,2,1.0,213,False,1,0,4.1796,0.0,0.0,1.0
2018-08-01 22:00:00,5.4,2018,8,1,22,3,2,1.0,213,False,1,0,5.4,0.0,0.0,1.0
2018-08-01 23:00:00,16.0464,2018,8,1,23,3,2,1.0,213,False,1,0,9.099747730833776,6.946652269166222,1.0,1.0
2018-08-02 00:00:00,14.9418,2018,8,2,0,3,3,1.0,214,False,1,0,8.720875998156357,6.220924001843644,1.0,1.0
2018-08-02 01:00:00,13.3608,2018,8,2,1,3,3,1.0,214,False,1,0,6.075892600620412,7.284907399379588,1.0,1.0
2018-08-02 02:00:00,5.3058,2018,8,2,2,3,3,1.0,214,False,1,0,5.3058,0.0,0.0,1.0
2018-08-02 03:00:00,3.3294,2018,8,2,3,3,3,1.0,214,False,1,0,3.3294,0.0,0.0,1.0
2018-08-02 04:00:00,3.3732,2018,8,2,4,3,3,1.0,214,False,1,0,3.3732,0.0,0.0,1.0
2018-08-02 05:00:00,3.225,2018,8,2,5,3,3,1.0,214,False,1,0,3.225,0.0,0.0,1.0
2018-08-02 06:00:00,3.6072,2018,8,2,6,3,3,1.0,214,False,1,0,3.6072,0.0,0.0,1.0
2018-08-02 07:00:00,2.8488,2018,8,2,7,3,3,1.0,214,False,1,0,2.8488,0.0,0.0,0.0
2018-08-02 08:00:00,3.039,2018,8,2,8,3,3,1.0,214,False,1,0,3.039,0.0,0.0,0.0
2018-08-02 09:00:00,2.925,2018,8,2,9,3,3,1.0,214,False,1,0,2.925,0.0,0.0,0.0
2018-08-02 10:00:00,3.4872,2018,8,2,10,3,3,1.0,214,False,1,0,3.4872,0.0,0.0,0.0
2018-08-02 11:00:00,4.0434,2018,8,2,11,3,3,1.0,214,False,1,0,4.0434,0.0,0.0,0.0
