Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,3.3774,2018,8,1,12,3,2,1.0,213,False,1,0,3.3774,0.0,0.0,0.0
2018-08-01 13:00:00,1.1112,2018,8,1,13,3,2,1.0,213,False,1,0,1.1112,0.0,0.0,0.0
2018-08-01 14:00:00,2.7174,2018,8,1,14,3,2,1.0,213,False,1,0,2.7174,0.0,0.0,0.0
2018-08-01 15:00:00,3.1332,2018,8,1,15,3,2,1.0,213,False,1,0,3.1332,0.0,0.0,0.0
2018-08-01 16:00:00,2.856,2018,8,1,16,3,2,1.0,213,False,1,0,2.856,0.0,0.0,1.0
2018-08-01 17:00:00,2.8116,2018,8,1,17,3,2,1.0,213,False,1,0,2.8116,0.0,0.0,1.0
2018-08-01 18:00:00,3.267,2018,8,1,18,3,2,1.0,213,False,1,0,3.267,0.0,0.0,1.0
2018-08-01 19:00:00,4.0824,2018,8,1,19,3,2,1.0,213,False,1,0,4.0824,0.0,0.0,1.0
2018-08-01 20:00:00,4.2948,2018,8,1,20,3,2,1.0,213,False,1,0,4.2948,0.0,0.0,1.0
2018-08-01 21:00:00,3.5724,2018,8,1,21,3,2,1.0,213,False,1,0,3.5724,0.0,0.0,1.0
2018-08-01 22:00:00,3.3282,2018,8,1,22,3,2,1.0,213,False,1,0,3.3282,0.0,0.0,1.0
2018-08-01 23:00:00,4.2672,2018,8,1,23,3,2,1.0,213,False,1,0,4.2672,0.0,0.0,1.0
2018-08-02 00:00:00,7.9626,2018,8,2,0,3,3,1.0,214,False,1,0,1.8908631391081696,6.07173686089183,1.0,1.0
2018-08-02 01:00:00,10.671,2018,8,2,1,3,3,1.0,214,False,1,0,4.086326280009842,6.584673719990158,1.0,1.0
2018-08-02 02:00:00,4.6248,2018,8,2,2,3,3,1.0,214,False,1,0,4.6248,0.0,0.0,1.0
2018-08-02 03:00:00,1.866,2018,8,2,3,3,3,1.0,214,False,1,0,1.866,0.0,0.0,1.0
2018-08-02 04:00:00,1.605,2018,8,2,4,3,3,1.0,214,False,1,0,1.605,0.0,0.0,1.0
2018-08-02 05:00:00,1.8174,2018,8,2,5,3,3,1.0,214,False,1,0,1.8174,0.0,0.0,1.0
2018-08-02 06:00:00,1.9782,2018,8,2,6,3,3,1.0,214,False,1,0,1.9782,0.0,0.0,1.0
2018-08-02 07:00:00,1.9488,2018,8,2,7,3,3,1.0,214,False,1,0,1.9488,0.0,0.0,0.0
2018-08-02 08:00:00,3.456,2018,8,2,8,3,3,1.0,214,False,1,0,3.456,0.0,0.0,0.0
2018-08-02 09:00:00,2.403,2018,8,2,9,3,3,1.0,214,False,1,0,2.403,0.0,0.0,0.0
2018-08-02 10:00:00,2.2644,2018,8,2,10,3,3,1.0,214,False,1,0,2.2644,0.0,0.0,1.0
2018-08-02 11:00:00,2.571,2018,8,2,11,3,3,1.0,214,False,1,0,2.571,0.0,0.0,0.0
