Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,5.6916,2018,8,1,12,3,2,1.0,213,False,1,0,5.6916,0.0,0.0,1.0
2018-08-01 13:00:00,0.6294,2018,8,1,13,3,2,1.0,213,False,1,0,0.6294,0.0,0.0,1.0
2018-08-01 14:00:00,0.4092,2018,8,1,14,3,2,1.0,213,False,1,0,0.4092,0.0,0.0,1.0
2018-08-01 15:00:00,0.507,2018,8,1,15,3,2,1.0,213,False,1,0,0.507,0.0,0.0,0.0
2018-08-01 16:00:00,2.1366,2018,8,1,16,3,2,1.0,213,False,1,0,2.1366,0.0,0.0,0.0
2018-08-01 17:00:00,4.0512,2018,8,1,17,3,2,1.0,213,False,1,0,4.0512,0.0,0.0,1.0
2018-08-01 18:00:00,1.6506,2018,8,1,18,3,2,1.0,213,False,1,0,1.6506,0.0,0.0,0.0
2018-08-01 19:00:00,1.23,2018,8,1,19,3,2,1.0,213,False,1,0,1.23,0.0,0.0,0.0
2018-08-01 20:00:00,7.4478,2018,8,1,20,3,2,1.0,213,False,1,0,0.6952754471585143,6.752524552841486,1.0,1.0
2018-08-01 21:00:00,5.4696,2018,8,1,21,3,2,1.0,213,False,1,0,5.4696,0.0,0.0,1.0
2018-08-01 22:00:00,4.9794,2018,8,1,22,3,2,1.0,213,False,1,0,4.9794,0.0,0.0,1.0
2018-08-01 23:00:00,5.3154,2018,8,1,23,3,2,1.0,213,False,1,0,5.3154,0.0,0.0,1.0
2018-08-02 00:00:00,3.2706,2018,8,2,0,3,3,1.0,214,False,1,0,3.2706,0.0,0.0,1.0
2018-08-02 01:00:00,2.655,2018,8,2,1,3,3,1.0,214,False,1,0,2.655,0.0,0.0,1.0
2018-08-02 02:00:00,3.933,2018,8,2,2,3,3,1.0,214,False,1,0,3.933,0.0,0.0,1.0
2018-08-02 03:00:00,3.318,2018,8,2,3,3,3,1.0,214,False,1,0,3.318,0.0,0.0,1.0
2018-08-02 04:00:00,0.8868,2018,8,2,4,3,3,1.0,214,False,1,0,0.8868,0.0,0.0,1.0
2018-08-02 05:00:00,1.0464,2018,8,2,5,3,3,1.0,214,False,1,0,1.0464,0.0,0.0,1.0
2018-08-02 06:00:00,1.1442,2018,8,2,6,3,3,1.0,214,False,1,0,1.1442,0.0,0.0,1.0
2018-08-02 07:00:00,2.9346,2018,8,2,7,3,3,1.0,214,False,1,0,2.9346,0.0,0.0,0.0
2018-08-02 08:00:00,1.3068,2018,8,2,8,3,3,1.0,214,False,1,0,1.3068,0.0,0.0,0.0
2018-08-02 09:00:00,1.8108,2018,8,2,9,3,3,1.0,214,False,1,0,1.8108,0.0,0.0,0.0
2018-08-02 10:00:00,2.4558,2018,8,2,10,3,3,1.0,214,False,1,0,2.4558,0.0,0.0,0.0
2018-08-02 11:00:00,4.785,2018,8,2,11,3,3,1.0,214,False,1,0,4.785,0.0,0.0,0.0
