Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,2.7066,2018,8,1,12,3,2,1.0,213,False,1,0,2.7066,0.0,0.0,1.0
2018-08-01 13:00:00,0.8568,2018,8,1,13,3,2,1.0,213,False,1,0,0.8568,0.0,0.0,1.0
2018-08-01 14:00:00,2.0202,2018,8,1,14,3,2,1.0,213,False,1,0,2.0202,0.0,0.0,1.0
2018-08-01 15:00:00,2.6304,2018,8,1,15,3,2,1.0,213,False,1,0,2.6304,0.0,0.0,1.0
2018-08-01 16:00:00,3.0114,2018,8,1,16,3,2,1.0,213,False,1,0,3.0114,0.0,0.0,0.0
2018-08-01 17:00:00,2.9676,2018,8,1,17,3,2,1.0,213,False,1,0,2.9676,0.0,0.0,0.0
2018-08-01 18:00:00,3.9222,2018,8,1,18,3,2,1.0,213,False,1,0,3.9222,0.0,0.0,1.0
2018-08-01 19:00:00,2.6544,2018,8,1,19,3,2,1.0,213,False,1,0,2.6544,0.0,0.0,0.0
2018-08-01 20:00:00,5.2344,2018,8,1,20,3,2,1.0,213,False,1,0,5.2344,0.0,0.0,1.0
2018-08-01 21:00:00,3.5262,2018,8,1,21,3,2,1.0,213,False,1,0,3.5262,0.0,0.0,1.0
2018-08-01 22:00:00,3.1794,2018,8,1,22,3,2,1.0,213,False,1,0,3.1794,0.0,0.0,1.0
2018-08-01 23:00:00,3.0654,2018,8,1,23,3,2,1.0,213,False,1,0,3.0654,0.0,0.0,1.0
2018-08-02 00:00:00,2.9832,2018,8,2,0,3,3,1.0,214,False,1,0,2.9832,0.0,0.0,1.0
2018-08-02 01:00:00,2.9076,2018,8,2,1,3,3,1.0,214,False,1,0,2.9076,0.0,0.0,1.0
2018-08-02 02:00:00,2.8512,2018,8,2,2,3,3,1.0,214,False,1,0,2.8512,0.0,0.0,1.0
2018-08-02 03:00:00,2.751,2018,8,2,3,3,3,1.0,214,False,1,0,2.751,0.0,0.0,1.0
2018-08-02 04:00:00,2.7462,2018,8,2,4,3,3,1.0,214,False,1,0,2.7462,0.0,0.0,1.0
2018-08-02 05:00:00,2.775,2018,8,2,5,3,3,1.0,214,False,1,0,2.775,0.0,0.0,1.0
2018-08-02 06:00:00,4.3866,2018,8,2,6,3,3,1.0,214,False,1,0,4.3866,0.0,0.0,1.0
2018-08-02 07:00:00,5.4228,2018,8,2,7,3,3,1.0,214,False,1,0,5.4228,0.0,0.0,1.0
2018-08-02 08:00:00,2.577,2018,8,2,8,3,3,1.0,214,False,1,0,2.577,0.0,0.0,1.0
2018-08-02 09:00:00,2.406,2018,8,2,9,3,3,1.0,214,False,1,0,2.406,0.0,0.0,1.0
2018-08-02 10:00:00,2.3754,2018,8,2,10,3,3,1.0,214,False,1,0,2.3754,0.0,0.0,0.0
2018-08-02 11:00:00,3.3252,2018,8,2,11,3,3,1.0,214,False,1,0,3.3252,0.0,0.0,0.0
