Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4706494.617547053,2512949.0120003475,1.3073596159852925,0.6980413922223188
 08/03  02:00:00,4033495.480308004,2294092.763473079,1.1204154111966678,0.6372479898536331
 08/03  03:00:00,3718286.5785787385,2220207.22953521,1.0328573829385386,0.6167242304264472
 08/03  04:00:00,3504695.3285383945,2165347.544008817,0.973526480149554,0.601485428891338
 08/03  05:00:00,3592058.180256647,2316539.620824657,0.9977939389601798,0.6434832280068491
 08/03  06:00:00,4115560.6078278488,2862156.0028344407,1.1432112799521803,0.795043334120678
 08/03  07:00:00,6643596.508460102,3445295.487749608,1.8454434745722506,0.957026524374891
 08/03  08:00:00,6054716.027962416,3832454.012792962,1.6818655633228934,1.064570559109156
 08/03  09:00:00,8044483.236135403,3418967.914682432,2.2345786767042783,0.9497133096340089
 08/03  10:00:00,6820050.091016659,3275642.844506638,1.8944583586157384,0.9099007901407328
 08/03  11:00:00,9031063.635172565,3347535.6362871937,2.5086287875479347,0.929871010079776
 08/03  12:00:00,7727031.629495373,3393831.1790581355,2.1463976748598257,0.9427308830717043
 08/03  13:00:00,9779717.770820832,3331429.966215653,2.7165882696724535,0.9253972128376814
 08/03  14:00:00,8657070.040139152,3265266.6002387987,2.404741677816431,0.907018500066333
 08/03  15:00:00,10698551.029237,3260172.5911784074,2.9718197303436114,0.9056034975495576
 08/03  16:00:00,9674039.112160388,3528580.7477419693,2.687233086711219,0.9801613188172137
 08/03  17:00:00,10947881.014983062,4434438.774882606,3.0410780597175173,1.2317885485785018
 08/03  18:00:00,13731590.196762966,5561955.818540111,3.814330610211935,1.5449877273722532
 08/03  19:00:00,11516652.078665037,5961881.978253312,3.199070021851399,1.6560783272925867
 08/03  20:00:00,12337556.087456338,5878958.06153572,3.427098913182316,1.6330439059821444
 08/03  21:00:00,9944826.984003842,5806546.156386869,2.762451940001067,1.6129294878852414
 08/03  22:00:00,9109134.557507984,5315932.545519552,2.530315154863329,1.4766479293109867
 08/03  23:00:00,9167043.645866968,4223630.251844767,2.5464010127408243,1.1732306255124352
 08/03  24:00:00,5944737.817955966,3260645.3952520285,1.651316060543324,0.9057348320144524
