Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4201286.032644996,2512949.0120003475,1.1670238979569434,0.6980413922223188
 08/03  02:00:00,3657811.8460182697,2294092.763473079,1.016058846116186,0.6372479898536331
 08/03  03:00:00,3449013.504792925,2220207.22953521,0.9580593068869236,0.6167242304264472
 08/03  04:00:00,3326171.5666747717,2165347.544008817,0.9239365462985477,0.601485428891338
 08/03  05:00:00,3488127.9691512305,2316539.6208246574,0.9689244358753418,0.6434832280068493
 08/03  06:00:00,4081100.031048052,2862156.0028344407,1.1336388975133478,0.795043334120678
 08/03  07:00:00,6671788.499454213,3445295.487749608,1.8532745831817259,0.957026524374891
 08/03  08:00:00,6134737.574758452,3832454.012792962,1.7040937707662367,1.064570559109156
 08/03  09:00:00,7992215.233472833,3418967.9146824325,2.220059787075787,0.949713309634009
 08/03  10:00:00,6655054.103469449,3275642.844506638,1.8486261398526247,0.9099007901407328
 08/03  11:00:00,8798470.559750382,3347535.636287194,2.4440195999306615,0.9298710100797761
 08/03  12:00:00,7304778.337449291,3393831.179058136,2.029105093735914,0.9427308830717044
 08/03  13:00:00,9187109.956860725,3331429.966215653,2.551974988016868,0.9253972128376814
 08/03  14:00:00,7910123.120161711,3265266.600238799,2.197256422267142,0.9070185000663331
 08/03  15:00:00,9842804.335962446,3260172.5911784074,2.734112315545124,0.9056034975495576
 08/03  16:00:00,8703635.539358383,3528580.74774197,2.417676538710662,0.9801613188172138
 08/03  17:00:00,9799720.829167372,4434438.774882606,2.7221446747687144,1.2317885485785018
 08/03  18:00:00,12507453.993125752,5561955.818540111,3.4742927758682645,1.5449877273722532
 08/03  19:00:00,10339918.783624196,5961881.978253314,2.8721996621178323,1.6560783272925872
 08/03  20:00:00,11178002.31160938,5878958.06153572,3.105000642113717,1.6330439059821444
 08/03  21:00:00,8881965.661154594,5806546.156386869,2.4672126836540538,1.6129294878852414
 08/03  22:00:00,8095464.984874301,5315932.545519552,2.2487402735761948,1.4766479293109867
 08/03  23:00:00,8293522.953835387,4223630.251844768,2.3037563760653854,1.1732306255124356
 08/03  24:00:00,5214318.996217055,3260645.3952520285,1.4484219433936265,0.9057348320144524
