Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,5846593.818722783,2512949.0120003475,1.6240538385341063,0.6980413922223188
 08/03  02:00:00,4745187.91805738,2294092.763473079,1.318107755015939,0.6372479898536331
 08/03  03:00:00,4101375.8702734616,2220207.22953521,1.1392710750759616,0.6167242304264472
 08/03  04:00:00,3677110.233724095,2165347.544008817,1.0214195093678042,0.601485428891338
 08/03  05:00:00,3621262.351382996,2316539.6208246574,1.0059062087174988,0.6434832280068493
 08/03  06:00:00,4028238.8185025575,2862156.002834441,1.1189552273618215,0.7950433341206781
 08/03  07:00:00,6336911.702571666,3445295.487749608,1.7602532507143516,0.957026524374891
 08/03  08:00:00,5832194.158916052,3832454.012792962,1.6200539330322368,1.064570559109156
 08/03  09:00:00,8243965.807445751,3418967.9146824325,2.2899905020682643,0.949713309634009
 08/03  10:00:00,0.0,0.0,0.0,0.0
 08/03  11:00:00,26333.639367179014,0.0,0.007314899824216393,0.0
 08/03  12:00:00,2582224.7724425346,0.0,0.7172846590118152,0.0
 08/03  13:00:00,1598168.4603201745,0.0,0.4439356834222707,0.0
 08/03  14:00:00,2728266.107982553,0.0,0.7578516966618203,0.0
 08/03  15:00:00,3826335.278897296,0.0,1.0628709108048044,0.0
 08/03  16:00:00,4612351.778514556,0.0,1.2812088273651543,0.0
 08/03  17:00:00,6948314.952566945,0.0,1.9300874868241513,0.0
 08/03  18:00:00,5399165.184706247,0.0,1.4997681068628466,0.0
 08/03  19:00:00,4299051.496006925,0.0,1.1941809711130347,0.0
 08/03  20:00:00,11614493.634073105,5878958.06153572,3.2262482316869736,1.6330439059821444
 08/03  21:00:00,14842555.926980168,5806546.156386869,4.122932201938935,1.6129294878852414
 08/03  22:00:00,15131862.013751186,5315932.545519552,4.203295003819774,1.4766479293109867
 08/03  23:00:00,10080952.12280669,4223630.251844768,2.800264478557414,1.1732306255124356
 08/03  24:00:00,7588785.995900146,3260645.3952520285,2.107996109972263,0.9057348320144524
