Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4679920.628222972,2512949.0120003475,1.299977952284159,0.6980413922223188
 08/03  02:00:00,4096314.6991363256,2294092.763473079,1.1378651942045348,0.6372479898536331
 08/03  03:00:00,3833168.762741335,2220207.22953521,1.064769100761482,0.6167242304264472
 08/03  04:00:00,3648350.0302144014,2165347.544008817,1.0134305639484449,0.601485428891338
 08/03  05:00:00,3748612.206727888,2316539.6208246574,1.0412811685355243,0.6434832280068493
 08/03  06:00:00,4276861.006811912,2862156.0028344407,1.1880169463366423,0.795043334120678
 08/03  07:00:00,6763670.069813272,3445295.487749608,1.8787972416147978,0.957026524374891
 08/03  08:00:00,5941173.309526769,3832454.012792962,1.6503259193129916,1.064570559109156
 08/03  09:00:00,7814160.793389592,3418967.9146824325,2.1706002203859978,0.949713309634009
 08/03  10:00:00,6548891.98164267,3275642.844506638,1.8191366615674083,0.9099007901407328
 08/03  11:00:00,1668608.5815588392,0.0,0.46350238376634423,0.0
 08/03  12:00:00,0.0,0.0,0.0,0.0
 08/03  13:00:00,3411486.1425809674,3331429.966215653,0.9476350396058243,0.9253972128376814
 08/03  14:00:00,10946724.301940326,3265266.600238799,3.0407567505389794,0.9070185000663331
 08/03  15:00:00,10268387.369963178,3260172.5911784074,2.8523298249897717,0.9056034975495576
 08/03  16:00:00,10013534.33169753,3528580.74774197,2.781537314360425,0.9801613188172138
 08/03  17:00:00,12288595.631243505,4434438.774882606,3.413498786456529,1.2317885485785018
 08/03  18:00:00,11379439.50471272,5561955.818540111,3.1609554179757553,1.5449877273722532
 08/03  19:00:00,12487932.517259944,5961881.978253314,3.468870143683318,1.6560783272925872
 08/03  20:00:00,10087106.441204578,5878958.06153572,2.801974011445716,1.6330439059821444
 08/03  21:00:00,11181883.52304992,5806546.156386869,3.1060787564027557,1.6129294878852414
 08/03  22:00:00,8704028.14289143,5315932.545519552,2.417785595247619,1.4766479293109867
 08/03  23:00:00,7204810.855735432,4223630.251844768,2.0013363488153977,1.1732306255124356
 08/03  24:00:00,7463007.428817479,3260645.3952520285,2.0730576191159664,0.9057348320144524
