Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4965073.465071665,2512949.0120003475,1.3791870736310181,0.6980413922223188
 08/03  02:00:00,4131510.476204563,2294092.763473079,1.147641798945712,0.6372479898536331
 08/03  03:00:00,3661130.711367472,2220207.22953521,1.0169807531576311,0.6167242304264472
 08/03  04:00:00,3338821.5889390567,2165347.544008817,0.9274504413719602,0.601485428891338
 08/03  05:00:00,3360780.6941082715,2316539.6208246574,0.9335501928078532,0.6434832280068493
 08/03  06:00:00,3834744.590586334,2862156.0028344407,1.0652068307184261,0.795043334120678
 08/03  07:00:00,6207288.244636087,3445295.487749608,1.7242467346211352,0.957026524374891
 08/03  08:00:00,5667003.081000322,3832454.012792962,1.5741675225000893,1.064570559109156
 08/03  09:00:00,7796650.592724915,3418967.9146824325,2.1657362757569207,0.949713309634009
 08/03  10:00:00,0.0,0.0,0.0,0.0
 08/03  11:00:00,0.0,0.0,0.0,0.0
 08/03  12:00:00,2124825.8448807844,0.0,0.5902294013557734,0.0
 08/03  13:00:00,1308523.8672944335,0.0,0.36347885202623154,0.0
 08/03  14:00:00,2554392.731605361,0.0,0.7095535365570448,0.0
 08/03  15:00:00,7156895.265906094,3260172.5911784074,1.9880264627516926,0.9056034975495576
 08/03  16:00:00,16943792.046086296,3528580.74774197,4.706608901690638,0.9801613188172138
 08/03  17:00:00,16675573.714284455,4434438.774882606,4.63210380952346,1.2317885485785018
 08/03  18:00:00,17846326.67248508,5561955.818540111,4.957312964579189,1.5449877273722532
 08/03  19:00:00,14774452.650857272,5961881.978253314,4.104014625238131,1.6560783272925872
 08/03  20:00:00,13764975.00447173,5878958.06153572,3.823604167908814,1.6330439059821444
 08/03  21:00:00,12572739.052364826,5806546.156386869,3.4924275145457853,1.6129294878852414
 08/03  22:00:00,10133796.23968855,5315932.545519552,2.814943399913486,1.4766479293109867
 08/03  23:00:00,9804191.397705758,4223630.251844768,2.7233864993627104,1.1732306255124356
 08/03  24:00:00,6385906.1869321205,3260645.3952520285,1.7738628297033667,0.9057348320144524
