Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4429831.63984478,2512949.0120003475,1.2305087888457722,0.6980413922223188
 08/03  02:00:00,3812531.487429721,2294092.763473079,1.0590365242860336,0.6372479898536331
 08/03  03:00:00,3561774.358780256,2220207.22953521,0.9893817663278489,0.6167242304264472
 08/03  04:00:00,3414264.434999593,2165347.544008817,0.9484067874998869,0.601485428891338
 08/03  05:00:00,3561621.6141820904,2316539.6208246574,0.9893393372728029,0.6434832280068493
 08/03  06:00:00,4142927.810360079,2862156.0028344407,1.1508132806555775,0.795043334120678
 08/03  07:00:00,6738591.861877329,3445295.487749608,1.8718310727437024,0.957026524374891
 08/03  08:00:00,6047703.993128253,3832454.012792962,1.6799177758689592,1.064570559109156
 08/03  09:00:00,1682230.931154436,0.0,0.4672863697651211,0.0
 08/03  10:00:00,0.0,0.0,0.0,0.0
 08/03  11:00:00,0.0,0.0,0.0,0.0
 08/03  12:00:00,785489.7259605259,0.0,0.21819159054459053,0.0
 08/03  13:00:00,2142039.094983153,0.0,0.5950108597175425,0.0
 08/03  14:00:00,1741630.645389176,0.0,0.4837862903858822,0.0
 08/03  15:00:00,2289053.704302068,0.0,0.6358482511950189,0.0
 08/03  16:00:00,2636752.180374768,0.0,0.7324311612152133,0.0
 08/03  17:00:00,2828834.50737557,0.0,0.7857873631598805,0.0
 08/03  18:00:00,4305055.177063808,0.0,1.195848660295502,0.0
 08/03  19:00:00,8728818.687417636,5961881.978253314,2.42467185761601,1.6560783272925872
 08/03  20:00:00,15194104.621195382,5878958.06153572,4.220584616998717,1.6330439059821444
 08/03  21:00:00,11912508.348751212,5806546.156386869,3.3090300968753366,1.6129294878852414
 08/03  22:00:00,11116348.302676069,5315932.545519552,3.08787452852113,1.4766479293109867
 08/03  23:00:00,7337848.303560695,4223630.251844768,2.0382911954335263,1.1732306255124356
 08/03  24:00:00,5669400.485153159,3260645.3952520285,1.5748334680980998,0.9057348320144524
