Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4256168.326498473,2512949.0120003475,1.182268979582909,0.6980413922223188
 08/03  02:00:00,3700303.664819285,2294092.763473079,1.027862129116468,0.6372479898536331
 08/03  03:00:00,3486931.319789969,2220207.22953521,0.9685920332749913,0.6167242304264472
 08/03  04:00:00,3361962.7295291983,2165347.544008817,0.9338785359803329,0.601485428891338
 08/03  05:00:00,3519509.1345795607,2316539.620824657,0.9776414262721002,0.6434832280068491
 08/03  06:00:00,4111703.835920948,2862156.0028344407,1.1421399544224855,0.795043334120678
 08/03  07:00:00,6701094.603126457,3445295.487749608,1.861415167535127,0.957026524374891
 08/03  08:00:00,6126988.792647075,3832454.012792962,1.7019413312908542,1.064570559109156
 08/03  09:00:00,8119382.807955096,3418967.914682432,2.25538411332086,0.9497133096340089
 08/03  10:00:00,6765355.114051327,3275642.844506638,1.879265309458702,0.9099007901407328
 08/03  11:00:00,8903203.295797972,3347535.6362871937,2.473112026610548,0.929871010079776
 08/03  12:00:00,7225037.216068976,3393831.1790581355,2.0069547822413822,0.9427308830717043
 08/03  13:00:00,9224535.18790382,3331429.966215653,2.5623708855288387,0.9253972128376814
 08/03  14:00:00,8082028.271307914,3265266.6002387987,2.2450078531410873,0.907018500066333
 08/03  15:00:00,10159378.00159087,3260172.5911784074,2.822049444886353,0.9056034975495576
 08/03  16:00:00,9047055.105125986,3528580.7477419693,2.5130708625349962,0.9801613188172137
 08/03  17:00:00,10298879.237179864,4434438.774882606,2.860799788105518,1.2317885485785018
 08/03  18:00:00,13014729.768274032,5561955.818540111,3.6152027134094533,1.5449877273722532
 08/03  19:00:00,10473120.95425497,5961881.978253312,2.909200265070825,1.6560783272925867
 08/03  20:00:00,11167849.481859442,5878958.06153572,3.102180411627623,1.6330439059821444
 08/03  21:00:00,8860645.239974637,5806546.156386869,2.461290344437399,1.6129294878852414
 08/03  22:00:00,8053462.172846938,5315932.545519552,2.237072825790816,1.4766479293109867
 08/03  23:00:00,8277731.714591282,4223630.251844767,2.299369920719801,1.1732306255124352
 08/03  24:00:00,5194069.157255757,3260645.3952520285,1.4427969881265992,0.9057348320144524
