Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4698384.3066301495,2512949.0120003475,1.305106751841708,0.6980413922223188
 08/03  02:00:00,4028399.107673074,2294092.763473079,1.1189997521314095,0.6372479898536331
 08/03  03:00:00,3714387.7490565926,2220207.22953521,1.0317743747379424,0.6167242304264472
 08/03  04:00:00,3502673.791948257,2165347.544008817,0.9729649422078491,0.601485428891338
 08/03  05:00:00,3591350.542737507,2316539.6208246574,0.9975973729826407,0.6434832280068493
 08/03  06:00:00,4114889.0394681054,2862156.0028344407,1.1430247331855847,0.795043334120678
 08/03  07:00:00,6653355.306740368,3445295.487749608,1.8481542518723244,0.957026524374891
 08/03  08:00:00,5999027.199594146,3832454.012792962,1.6663964443317072,1.064570559109156
 08/03  09:00:00,7982397.961042791,3418967.9146824325,2.2173327669563307,0.949713309634009
 08/03  10:00:00,6836250.763334485,3275642.844506638,1.8989585453706903,0.9099007901407328
 08/03  11:00:00,9046806.44009908,3347535.636287194,2.513001788916411,0.9298710100797761
 08/03  12:00:00,7719543.109189674,3393831.179058136,2.144317530330465,0.9427308830717044
 08/03  13:00:00,9763750.458226336,3331429.966215653,2.712152905062871,0.9253972128376814
 08/03  14:00:00,8652314.716903629,3265266.600238799,2.4034207546954525,0.9070185000663331
 08/03  15:00:00,10717191.67605657,3260172.5911784074,2.9769976877934914,0.9056034975495576
 08/03  16:00:00,9715543.455452822,3528580.74774197,2.698762070959117,0.9801613188172138
 08/03  17:00:00,10987927.432107303,4434438.774882606,3.052202064474251,1.2317885485785018
 08/03  18:00:00,13789928.310255673,5561955.818540111,3.830535641737687,1.5449877273722532
 08/03  19:00:00,11572701.960585495,5961881.978253314,3.214639433495971,1.6560783272925872
 08/03  20:00:00,12310431.914889112,5878958.06153572,3.4195644208025313,1.6330439059821444
 08/03  21:00:00,9976594.155126784,5806546.156386869,2.7712761542018844,1.6129294878852414
 08/03  22:00:00,8979802.580982927,5315932.545519552,2.494389605828591,1.4766479293109867
 08/03  23:00:00,9086933.578245835,4223630.251844768,2.5241482161793987,1.1732306255124356
 08/03  24:00:00,5864876.060433669,3260645.3952520285,1.6291322390093526,0.9057348320144524
