Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,4.122,2018,8,1,12,3,2,1.0,213,False,1,0,4.122,0.0,0.0,1.0
2018-08-01 13:00:00,5.292,2018,8,1,13,3,2,1.0,213,False,1,0,5.292,0.0,0.0,1.0
2018-08-01 14:00:00,4.8822,2018,8,1,14,3,2,1.0,213,False,1,0,4.8822,0.0,0.0,1.0
2018-08-01 15:00:00,3.882,2018,8,1,15,3,2,1.0,213,False,1,0,3.882,0.0,0.0,1.0
2018-08-01 16:00:00,4.2882,2018,8,1,16,3,2,1.0,213,False,1,0,4.2882,0.0,0.0,1.0
2018-08-01 17:00:00,5.1132,2018,8,1,17,3,2,1.0,213,False,1,0,5.1132,0.0,0.0,1.0
2018-08-01 18:00:00,5.049,2018,8,1,18,3,2,1.0,213,False,1,0,5.049,0.0,0.0,1.0
2018-08-01 19:00:00,4.1262,2018,8,1,19,3,2,1.0,213,False,1,0,4.1262,0.0,0.0,1.0
2018-08-01 20:00:00,4.9116,2018,8,1,20,3,2,1.0,213,False,1,0,4.9116,0.0,0.0,1.0
2018-08-01 21:00:00,3.8544,2018,8,1,21,3,2,1.0,213,False,1,0,3.8544,0.0,0.0,1.0
2018-08-01 22:00:00,3.3942,2018,8,1,22,3,2,1.0,213,False,1,0,3.3942,0.0,0.0,1.0
2018-08-01 23:00:00,2.7042,2018,8,1,23,3,2,1.0,213,False,1,0,2.7042,0.0,0.0,1.0
2018-08-02 00:00:00,2.6826,2018,8,2,0,3,3,1.0,214,False,1,0,2.6826,0.0,0.0,1.0
2018-08-02 01:00:00,2.1372,2018,8,2,1,3,3,1.0,214,False,1,0,2.1372,0.0,0.0,1.0
2018-08-02 02:00:00,1.5258,2018,8,2,2,3,3,1.0,214,False,1,0,1.5258,0.0,0.0,1.0
2018-08-02 03:00:00,1.9188,2018,8,2,3,3,3,1.0,214,False,1,0,1.9188,0.0,0.0,1.0
2018-08-02 04:00:00,1.497,2018,8,2,4,3,3,1.0,214,False,1,0,1.497,0.0,0.0,1.0
2018-08-02 05:00:00,1.4634,2018,8,2,5,3,3,1.0,214,False,1,0,1.4634,0.0,0.0,1.0
2018-08-02 06:00:00,2.9208,2018,8,2,6,3,3,1.0,214,False,1,0,2.9208,0.0,0.0,1.0
2018-08-02 07:00:00,1.2264,2018,8,2,7,3,3,1.0,214,False,1,0,1.2264,0.0,0.0,0.0
2018-08-02 08:00:00,0.5508,2018,8,2,8,3,3,1.0,214,False,1,0,0.5508,0.0,0.0,0.0
2018-08-02 09:00:00,0.5124,2018,8,2,9,3,3,1.0,214,False,1,0,0.5124,0.0,0.0,0.0
2018-08-02 10:00:00,1.2966,2018,8,2,10,3,3,1.0,214,False,1,0,1.2966,0.0,0.0,0.0
2018-08-02 11:00:00,3.2286,2018,8,2,11,3,3,1.0,214,False,1,0,3.2286,0.0,0.0,1.0
