Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,3.572,2018,8,1,12,3,2,1.0,213,False,1,0,3.572,0.0,0.0,0.0
2018-08-01 13:00:00,2.834,2018,8,1,13,3,2,1.0,213,False,1,0,2.834,0.0,0.0,0.0
2018-08-01 14:00:00,3.315,2018,8,1,14,3,2,1.0,213,False,1,0,3.315,0.0,0.0,0.0
2018-08-01 15:00:00,5.364,2018,8,1,15,3,2,1.0,213,False,1,0,5.364,0.0,0.0,1.0
2018-08-01 16:00:00,6.685,2018,8,1,16,3,2,1.0,213,False,1,0,6.685,0.0,0.0,1.0
2018-08-01 17:00:00,4.641,2018,8,1,17,3,2,1.0,213,False,1,0,4.641,0.0,0.0,1.0
2018-08-01 18:00:00,3.647,2018,8,1,18,3,2,1.0,213,False,1,0,3.647,0.0,0.0,1.0
2018-08-01 19:00:00,6.566,2018,8,1,19,3,2,1.0,213,False,1,0,0.3060256370465914,6.259974362953408,1.0,1.0
2018-08-01 20:00:00,3.85,2018,8,1,20,3,2,1.0,213,False,1,0,3.85,0.0,0.0,1.0
2018-08-01 21:00:00,4.192,2018,8,1,21,3,2,1.0,213,False,1,0,4.192,0.0,0.0,1.0
2018-08-01 22:00:00,5.267,2018,8,1,22,3,2,1.0,213,False,1,0,5.267,0.0,0.0,1.0
2018-08-01 23:00:00,20.445,2018,8,1,23,3,2,1.0,213,False,1,0,14.103078773273058,6.341921226726942,1.0,1.0
2018-08-02 00:00:00,20.921,2018,8,2,0,3,3,1.0,214,False,1,0,13.829673369519536,7.091326630480463,1.0,1.0
2018-08-02 01:00:00,4.078,2018,8,2,1,3,3,1.0,214,False,1,0,4.078,0.0,0.0,1.0
2018-08-02 02:00:00,2.832,2018,8,2,2,3,3,1.0,214,False,1,0,2.832,0.0,0.0,1.0
2018-08-02 03:00:00,2.98,2018,8,2,3,3,3,1.0,214,False,1,0,2.98,0.0,0.0,1.0
2018-08-02 04:00:00,1.267,2018,8,2,4,3,3,1.0,214,False,1,0,1.267,0.0,0.0,1.0
2018-08-02 05:00:00,1.238,2018,8,2,5,3,3,1.0,214,False,1,0,1.238,0.0,0.0,1.0
2018-08-02 06:00:00,2.239,2018,8,2,6,3,3,1.0,214,False,1,0,2.239,0.0,0.0,1.0
2018-08-02 07:00:00,1.499,2018,8,2,7,3,3,1.0,214,False,1,0,1.499,0.0,0.0,0.0
2018-08-02 08:00:00,1.619,2018,8,2,8,3,3,1.0,214,False,1,0,1.619,0.0,0.0,0.0
2018-08-02 09:00:00,2.001,2018,8,2,9,3,3,1.0,214,False,1,0,2.001,0.0,0.0,0.0
2018-08-02 10:00:00,1.936,2018,8,2,10,3,3,1.0,214,False,1,0,1.936,0.0,0.0,0.0
2018-08-02 11:00:00,2.42,2018,8,2,11,3,3,1.0,214,False,1,0,2.42,0.0,0.0,0.0
