Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,4.3092,2018,8,1,12,3,2,1.0,213,False,1,0,4.3092,0.0,0.0,1.0
2018-08-01 13:00:00,5.6478,2018,8,1,13,3,2,1.0,213,False,1,0,5.6478,0.0,0.0,1.0
2018-08-01 14:00:00,6.7482,2018,8,1,14,3,2,1.0,213,False,1,0,0.6633089337559346,6.084891066244065,1.0,1.0
2018-08-01 15:00:00,6.8598,2018,8,1,15,3,2,1.0,213,False,1,0,6.8598,0.0,0.0,1.0
2018-08-01 16:00:00,7.8612,2018,8,1,16,3,2,1.0,213,False,1,0,0.4684605272114188,7.392739472788581,1.0,1.0
2018-08-01 17:00:00,7.5204,2018,8,1,17,3,2,1.0,213,False,1,0,0.2698910495752162,7.250508950424784,1.0,1.0
2018-08-01 18:00:00,7.611,2018,8,1,18,3,2,1.0,213,False,1,0,1.4335649432550897,6.17743505674491,1.0,1.0
2018-08-01 19:00:00,6.6222,2018,8,1,19,3,2,1.0,213,False,1,0,0.2536682197913054,6.368531780208695,1.0,1.0
2018-08-01 20:00:00,5.9772,2018,8,1,20,3,2,1.0,213,False,1,0,5.9772,0.0,0.0,1.0
2018-08-01 21:00:00,4.6614,2018,8,1,21,3,2,1.0,213,False,1,0,4.6614,0.0,0.0,1.0
2018-08-01 22:00:00,3.6228,2018,8,1,22,3,2,1.0,213,False,1,0,3.6228,0.0,0.0,1.0
2018-08-01 23:00:00,10.635,2018,8,1,23,3,2,1.0,213,False,1,0,3.785174576977736,6.8498254230222635,1.0,1.0
2018-08-02 00:00:00,11.0928,2018,8,2,0,3,3,1.0,214,False,1,0,4.49523602900851,6.597563970991491,1.0,1.0
2018-08-02 01:00:00,10.7796,2018,8,2,1,3,3,1.0,214,False,1,0,4.636240013267335,6.143359986732666,1.0,1.0
2018-08-02 02:00:00,10.4874,2018,8,2,2,3,3,1.0,214,False,1,0,4.058875059096982,6.428524940903017,1.0,1.0
2018-08-02 03:00:00,6.6534,2018,8,2,3,3,3,1.0,214,False,1,0,0.4148299810046474,6.238570018995353,1.0,1.0
2018-08-02 04:00:00,3.8592,2018,8,2,4,3,3,1.0,214,False,1,0,3.8592,0.0,0.0,1.0
2018-08-02 05:00:00,2.7732,2018,8,2,5,3,3,1.0,214,False,1,0,2.7732,0.0,0.0,1.0
2018-08-02 06:00:00,1.5378,2018,8,2,6,3,3,1.0,214,False,1,0,1.5378,0.0,0.0,1.0
2018-08-02 07:00:00,1.5582,2018,8,2,7,3,3,1.0,214,False,1,0,1.5582,0.0,0.0,0.0
2018-08-02 08:00:00,1.6854,2018,8,2,8,3,3,1.0,214,False,1,0,1.6854,0.0,0.0,0.0
2018-08-02 09:00:00,2.5632,2018,8,2,9,3,3,1.0,214,False,1,0,2.5632,0.0,0.0,0.0
2018-08-02 10:00:00,4.0482,2018,8,2,10,3,3,1.0,214,False,1,0,4.0482,0.0,0.0,1.0
2018-08-02 11:00:00,5.9616,2018,8,2,11,3,3,1.0,214,False,1,0,5.9616,0.0,0.0,1.0
