Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,3.9042,2018,8,1,12,3,2,1.0,213,False,1,0,3.9042,0.0,0.0,1.0
2018-08-01 13:00:00,4.3188,2018,8,1,13,3,2,1.0,213,False,1,0,4.3188,0.0,0.0,1.0
2018-08-01 14:00:00,4.605,2018,8,1,14,3,2,1.0,213,False,1,0,4.605,0.0,0.0,1.0
2018-08-01 15:00:00,6.2472,2018,8,1,15,3,2,1.0,213,False,1,0,6.2472,0.0,0.0,1.0
2018-08-01 16:00:00,5.6256,2018,8,1,16,3,2,1.0,213,False,1,0,5.6256,0.0,0.0,1.0
2018-08-01 17:00:00,4.9524,2018,8,1,17,3,2,1.0,213,False,1,0,4.9524,0.0,0.0,1.0
2018-08-01 18:00:00,4.5432,2018,8,1,18,3,2,1.0,213,False,1,0,4.5432,0.0,0.0,1.0
2018-08-01 19:00:00,3.8088,2018,8,1,19,3,2,1.0,213,False,1,0,3.8088,0.0,0.0,1.0
2018-08-01 20:00:00,2.4624,2018,8,1,20,3,2,1.0,213,False,1,0,2.4624,0.0,0.0,1.0
2018-08-01 21:00:00,1.872,2018,8,1,21,3,2,1.0,213,False,1,0,1.872,0.0,0.0,1.0
2018-08-01 22:00:00,1.9566,2018,8,1,22,3,2,1.0,213,False,1,0,1.9566,0.0,0.0,1.0
2018-08-01 23:00:00,5.2842,2018,8,1,23,3,2,1.0,213,False,1,0,5.2842,0.0,0.0,1.0
2018-08-02 00:00:00,1.7724,2018,8,2,0,3,3,1.0,214,False,1,0,1.7724,0.0,0.0,1.0
2018-08-02 01:00:00,1.8852,2018,8,2,1,3,3,1.0,214,False,1,0,1.8852,0.0,0.0,1.0
2018-08-02 02:00:00,1.8378,2018,8,2,2,3,3,1.0,214,False,1,0,1.8378,0.0,0.0,1.0
2018-08-02 03:00:00,1.4574,2018,8,2,3,3,3,1.0,214,False,1,0,1.4574,0.0,0.0,1.0
2018-08-02 04:00:00,1.4136,2018,8,2,4,3,3,1.0,214,False,1,0,1.4136,0.0,0.0,1.0
2018-08-02 05:00:00,1.8078,2018,8,2,5,3,3,1.0,214,False,1,0,1.8078,0.0,0.0,1.0
2018-08-02 06:00:00,1.38,2018,8,2,6,3,3,1.0,214,False,1,0,1.38,0.0,0.0,1.0
2018-08-02 07:00:00,2.5488,2018,8,2,7,3,3,1.0,214,False,1,0,2.5488,0.0,0.0,1.0
2018-08-02 08:00:00,2.7726,2018,8,2,8,3,3,1.0,214,False,1,0,2.7726,0.0,0.0,1.0
2018-08-02 09:00:00,2.625,2018,8,2,9,3,3,1.0,214,False,1,0,2.625,0.0,0.0,1.0
2018-08-02 10:00:00,2.0046,2018,8,2,10,3,3,1.0,214,False,1,0,2.0046,0.0,0.0,1.0
2018-08-02 11:00:00,2.6484,2018,8,2,11,3,3,1.0,214,False,1,0,2.6484,0.0,0.0,1.0
