Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,11.77,2018,8,1,12,3,2,1.0,213,False,1,0,5.731371421969284,6.038628578030716,1.0,1.0
2018-08-01 13:00:00,13.4,2018,8,1,13,3,2,1.0,213,False,1,0,6.7320416688453815,6.667958331154619,1.0,1.0
2018-08-01 14:00:00,17.26,2018,8,1,14,3,2,1.0,213,False,1,0,10.67348798526899,6.586512014731012,1.0,1.0
2018-08-01 15:00:00,18.61,2018,8,1,15,3,2,1.0,213,False,1,0,12.274467783389944,6.335532216610055,1.0,1.0
2018-08-01 16:00:00,20.24,2018,8,1,16,3,2,1.0,213,False,1,0,13.39251067097197,6.847489329028029,1.0,1.0
2018-08-01 17:00:00,15.24,2018,8,1,17,3,2,1.0,213,False,1,0,8.44132455478874,6.798675445211261,1.0,1.0
2018-08-01 18:00:00,15.1,2018,8,1,18,3,2,1.0,213,False,1,0,8.121391166497762,6.978608833502237,1.0,1.0
2018-08-01 19:00:00,14.11,2018,8,1,19,3,2,1.0,213,False,1,0,7.562047283377628,6.547952716622372,1.0,1.0
2018-08-01 20:00:00,15.32,2018,8,1,20,3,2,1.0,213,False,1,0,7.976550545276623,7.343449454723377,1.0,1.0
2018-08-01 21:00:00,14.55,2018,8,1,21,3,2,1.0,213,False,1,0,7.844354746284956,6.705645253715045,1.0,1.0
2018-08-01 22:00:00,11.36,2018,8,1,22,3,2,1.0,213,False,1,0,5.240034640478178,6.119965359521822,1.0,1.0
2018-08-01 23:00:00,7.88,2018,8,1,23,3,2,1.0,213,False,1,0,1.17103664315976,6.70896335684024,1.0,1.0
2018-08-02 00:00:00,7.3,2018,8,2,0,3,3,1.0,214,False,1,0,0.8869950790750023,6.4130049209249975,1.0,1.0
2018-08-02 01:00:00,5.82,2018,8,2,1,3,3,1.0,214,False,1,0,5.82,0.0,0.0,1.0
2018-08-02 02:00:00,5.01,2018,8,2,2,3,3,1.0,214,False,1,0,5.01,0.0,0.0,1.0
2018-08-02 03:00:00,5.84,2018,8,2,3,3,3,1.0,214,False,1,0,5.84,0.0,0.0,1.0
2018-08-02 04:00:00,4.7,2018,8,2,4,3,3,1.0,214,False,1,0,4.7,0.0,0.0,1.0
2018-08-02 05:00:00,8.21,2018,8,2,5,3,3,1.0,214,False,1,0,1.4990081531595427,6.710991846840458,1.0,1.0
2018-08-02 06:00:00,6.85,2018,8,2,6,3,3,1.0,214,False,1,0,0.751604043331092,6.098395956668908,1.0,1.0
2018-08-02 07:00:00,12.96,2018,8,2,7,3,3,1.0,214,False,1,0,6.74999962651444,6.210000373485561,1.0,1.0
2018-08-02 08:00:00,11.13,2018,8,2,8,3,3,1.0,214,False,1,0,4.610794452933052,6.5192055470669485,1.0,1.0
2018-08-02 09:00:00,10.81,2018,8,2,9,3,3,1.0,214,False,1,0,3.6884031101546846,7.121596889845316,1.0,1.0
2018-08-02 10:00:00,8.48,2018,8,2,10,3,3,1.0,214,False,1,0,2.19692193266477,6.28307806733523,1.0,1.0
2018-08-02 11:00:00,12.14,2018,8,2,11,3,3,1.0,214,False,1,0,6.104832484805642,6.035167515194359,1.0,1.0
