Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,2.6046,2018,8,1,12,3,2,1.0,213,False,1,0,2.6046,0.0,0.0,1.0
2018-08-01 13:00:00,2.9814,2018,8,1,13,3,2,1.0,213,False,1,0,2.9814,0.0,0.0,1.0
2018-08-01 14:00:00,3.681,2018,8,1,14,3,2,1.0,213,False,1,0,3.681,0.0,0.0,1.0
2018-08-01 15:00:00,3.8484,2018,8,1,15,3,2,1.0,213,False,1,0,3.8484,0.0,0.0,1.0
2018-08-01 16:00:00,3.8058,2018,8,1,16,3,2,1.0,213,False,1,0,3.8058,0.0,0.0,1.0
2018-08-01 17:00:00,3.621,2018,8,1,17,3,2,1.0,213,False,1,0,3.621,0.0,0.0,1.0
2018-08-01 18:00:00,3.4746,2018,8,1,18,3,2,1.0,213,False,1,0,3.4746,0.0,0.0,1.0
2018-08-01 19:00:00,3.3828,2018,8,1,19,3,2,1.0,213,False,1,0,3.3828,0.0,0.0,1.0
2018-08-01 20:00:00,3.3372,2018,8,1,20,3,2,1.0,213,False,1,0,3.3372,0.0,0.0,1.0
2018-08-01 21:00:00,2.2422,2018,8,1,21,3,2,1.0,213,False,1,0,2.2422,0.0,0.0,1.0
2018-08-01 22:00:00,2.0304,2018,8,1,22,3,2,1.0,213,False,1,0,2.0304,0.0,0.0,1.0
2018-08-01 23:00:00,3.5688,2018,8,1,23,3,2,1.0,213,False,1,0,3.5688,0.0,0.0,1.0
2018-08-02 00:00:00,3.3678,2018,8,2,0,3,3,1.0,214,False,1,0,3.3678,0.0,0.0,1.0
2018-08-02 01:00:00,2.8662,2018,8,2,1,3,3,1.0,214,False,1,0,2.8662,0.0,0.0,1.0
2018-08-02 02:00:00,2.5254,2018,8,2,2,3,3,1.0,214,False,1,0,2.5254,0.0,0.0,1.0
2018-08-02 03:00:00,2.2896,2018,8,2,3,3,3,1.0,214,False,1,0,2.2896,0.0,0.0,1.0
2018-08-02 04:00:00,2.3826,2018,8,2,4,3,3,1.0,214,False,1,0,2.3826,0.0,0.0,1.0
2018-08-02 05:00:00,2.5302,2018,8,2,5,3,3,1.0,214,False,1,0,2.5302,0.0,0.0,1.0
2018-08-02 06:00:00,1.9434,2018,8,2,6,3,3,1.0,214,False,1,0,1.9434,0.0,0.0,1.0
2018-08-02 07:00:00,1.0548,2018,8,2,7,3,3,1.0,214,False,1,0,1.0548,0.0,0.0,0.0
2018-08-02 08:00:00,0.6456,2018,8,2,8,3,3,1.0,214,False,1,0,0.6456,0.0,0.0,0.0
2018-08-02 09:00:00,0.9438,2018,8,2,9,3,3,1.0,214,False,1,0,0.9438,0.0,0.0,0.0
2018-08-02 10:00:00,1.7172,2018,8,2,10,3,3,1.0,214,False,1,0,1.7172,0.0,0.0,1.0
2018-08-02 11:00:00,1.8366,2018,8,2,11,3,3,1.0,214,False,1,0,1.8366,0.0,0.0,1.0
