Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,5.08,2018,8,1,12,3,2,1.0,213,False,1,0,5.08,0.0,0.0,1.0
2018-08-01 13:00:00,5.23,2018,8,1,13,3,2,1.0,213,False,1,0,5.23,0.0,0.0,1.0
2018-08-01 14:00:00,5.52,2018,8,1,14,3,2,1.0,213,False,1,0,5.52,0.0,0.0,1.0
2018-08-01 15:00:00,5.51,2018,8,1,15,3,2,1.0,213,False,1,0,5.51,0.0,0.0,1.0
2018-08-01 16:00:00,5.44,2018,8,1,16,3,2,1.0,213,False,1,0,5.44,0.0,0.0,1.0
2018-08-01 17:00:00,5.85,2018,8,1,17,3,2,1.0,213,False,1,0,5.85,0.0,0.0,1.0
2018-08-01 18:00:00,6.39,2018,8,1,18,3,2,1.0,213,False,1,0,6.39,0.0,0.0,1.0
2018-08-01 19:00:00,5.73,2018,8,1,19,3,2,1.0,213,False,1,0,5.73,0.0,0.0,1.0
2018-08-01 20:00:00,5.18,2018,8,1,20,3,2,1.0,213,False,1,0,5.18,0.0,0.0,1.0
2018-08-01 21:00:00,4.88,2018,8,1,21,3,2,1.0,213,False,1,0,4.88,0.0,0.0,1.0
2018-08-01 22:00:00,3.28,2018,8,1,22,3,2,1.0,213,False,1,0,3.28,0.0,0.0,1.0
2018-08-01 23:00:00,2.61,2018,8,1,23,3,2,1.0,213,False,1,0,2.61,0.0,0.0,1.0
2018-08-02 00:00:00,2.56,2018,8,2,0,3,3,1.0,214,False,1,0,2.56,0.0,0.0,1.0
2018-08-02 01:00:00,2.63,2018,8,2,1,3,3,1.0,214,False,1,0,2.63,0.0,0.0,1.0
2018-08-02 02:00:00,2.52,2018,8,2,2,3,3,1.0,214,False,1,0,2.52,0.0,0.0,1.0
2018-08-02 03:00:00,2.41,2018,8,2,3,3,3,1.0,214,False,1,0,2.41,0.0,0.0,1.0
2018-08-02 04:00:00,2.32,2018,8,2,4,3,3,1.0,214,False,1,0,2.32,0.0,0.0,1.0
2018-08-02 05:00:00,2.3,2018,8,2,5,3,3,1.0,214,False,1,0,2.3,0.0,0.0,1.0
2018-08-02 06:00:00,3.57,2018,8,2,6,3,3,1.0,214,False,1,0,3.57,0.0,0.0,1.0
2018-08-02 07:00:00,3.25,2018,8,2,7,3,3,1.0,214,False,1,0,3.25,0.0,0.0,1.0
2018-08-02 08:00:00,1.96,2018,8,2,8,3,3,1.0,214,False,1,0,1.96,0.0,0.0,1.0
2018-08-02 09:00:00,6.12,2018,8,2,9,3,3,1.0,214,False,1,0,6.12,0.0,0.0,1.0
2018-08-02 10:00:00,4.29,2018,8,2,10,3,3,1.0,214,False,1,0,4.29,0.0,0.0,1.0
2018-08-02 11:00:00,3.74,2018,8,2,11,3,3,1.0,214,False,1,0,3.74,0.0,0.0,1.0
