Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4197169.736893247,2512949.0120003475,1.1658804824703464,0.6980413922223188
 08/03  02:00:00,3651250.712069601,2294092.763473079,1.0142363089082225,0.6372479898536331
 08/03  03:00:00,3443484.355386768,2220207.22953521,0.95652343205188,0.6167242304264472
 08/03  04:00:00,3320709.1611043084,2165347.544008817,0.9224192114178634,0.601485428891338
 08/03  05:00:00,3483012.5750881047,2316539.620824657,0.967503493080029,0.6434832280068491
 08/03  06:00:00,4078314.56796374,2862156.0028344407,1.1328651577677056,0.795043334120678
 08/03  07:00:00,6513412.472781472,3445295.487749608,1.8092812424392977,0.957026524374891
 08/03  08:00:00,5966677.427871089,3832454.012792962,1.6574103966308582,1.064570559109156
 08/03  09:00:00,7930303.453075817,3418967.914682432,2.202862070298838,0.9497133096340089
 08/03  10:00:00,6711427.693739705,3275642.844506638,1.8642854704832514,0.9099007901407328
 08/03  11:00:00,8884582.685202848,3347535.6362871937,2.467939634778569,0.929871010079776
 08/03  12:00:00,7416725.845025707,3393831.1790581355,2.060201623618252,0.9427308830717043
 08/03  13:00:00,9317081.95865399,3331429.966215653,2.5880783218483305,0.9253972128376814
 08/03  14:00:00,8042110.631399534,3265266.6002387987,2.2339196198332036,0.907018500066333
 08/03  15:00:00,9960683.35500464,3260172.5911784074,2.766856487501289,0.9056034975495576
 08/03  16:00:00,8800336.15604162,3528580.7477419693,2.4445378211226725,0.9801613188172137
 08/03  17:00:00,9871839.68766451,4434438.774882606,2.7421776910179196,1.2317885485785018
 08/03  18:00:00,12552944.940694371,5561955.818540111,3.4869291501928807,1.5449877273722532
 08/03  19:00:00,10268160.694557324,5961881.978253312,2.852266859599257,1.6560783272925867
 08/03  20:00:00,11252276.369573811,5878958.06153572,3.125632324881614,1.6330439059821444
 08/03  21:00:00,8968489.976575486,5806546.156386869,2.491247215715413,1.6129294878852414
 08/03  22:00:00,8186278.02420285,5315932.545519552,2.273966117834125,1.4766479293109867
 08/03  23:00:00,8388666.268324714,4223630.251844767,2.3301850745346426,1.1732306255124352
 08/03  24:00:00,5308158.652474036,3260645.3952520285,1.4744885145761213,0.9057348320144524
