Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4211372.297990102,2512949.0120003475,1.169825638330584,0.6980413922223188
 08/03  02:00:00,3664999.097774385,2294092.763473079,1.018055304937329,0.6372479898536331
 08/03  03:00:00,3455193.982252317,2220207.22953521,0.9597761061811991,0.6167242304264472
 08/03  04:00:00,3330571.540954748,2165347.544008817,0.9251587613763189,0.601485428891338
 08/03  05:00:00,3491103.3966122493,2316539.6208246574,0.9697509435034026,0.6434832280068493
 08/03  06:00:00,4083893.140152262,2862156.0028344407,1.1344147611534061,0.795043334120678
 08/03  07:00:00,6674550.109993529,3445295.487749608,1.8540416972204246,0.957026524374891
 08/03  08:00:00,6137729.579891608,3832454.012792962,1.7049248833032244,1.064570559109156
 08/03  09:00:00,8095191.330186521,3418967.9146824325,2.2486642583851446,0.949713309634009
 08/03  10:00:00,6763876.474471623,3275642.844506638,1.8788545762421176,0.9099007901407328
 08/03  11:00:00,8807691.540656831,3347535.636287194,2.4465809835157866,0.9298710100797761
 08/03  12:00:00,7312194.009026726,3393831.179058136,2.0311650025074237,0.9427308830717044
 08/03  13:00:00,9191442.08544502,3331429.966215653,2.5531783570680613,0.9253972128376814
 08/03  14:00:00,7914053.416101666,3265266.600238799,2.1983481711393518,0.9070185000663331
 08/03  15:00:00,9843516.094437066,3260172.5911784074,2.7343100262325186,0.9056034975495576
 08/03  16:00:00,8704523.805002756,3528580.74774197,2.4179232791674323,0.9801613188172138
 08/03  17:00:00,9800424.298826566,4434438.774882606,2.7223400830073796,1.2317885485785018
 08/03  18:00:00,12507846.147848768,5561955.818540111,3.474401707735769,1.5449877273722532
 08/03  19:00:00,10242181.405878223,5961881.978253314,2.845050390521729,1.6560783272925872
 08/03  20:00:00,11172075.513080845,5878958.06153572,3.1033543091891236,1.6330439059821444
 08/03  21:00:00,8973628.74208496,5806546.156386869,2.4926746505791555,1.6129294878852414
 08/03  22:00:00,8191717.368894242,5315932.545519552,2.2754770469150674,1.4766479293109867
 08/03  23:00:00,8399077.527636848,4223630.251844768,2.3330770910102356,1.1732306255124356
 08/03  24:00:00,5321220.682764356,3260645.3952520285,1.4781168563234321,0.9057348320144524
